chr1	HOST
chr10	HOST
chr11	HOST
chr12	HOST
chr13	HOST
chr14	HOST
chr15	HOST
chr16	HOST
chr17	HOST
chr18	HOST
chr19	HOST
chr2	HOST
chr20	HOST
chr21	HOST
chr22	HOST
chr3	HOST
chr4	HOST
chr5	HOST
chr6	HOST
chr7	HOST
chr8	HOST
chr9	HOST
chrM	HOST
chrX	HOST
chrY	HOST
EBV_NC_007605.1	EBV
GL000008.2	HOST
GL000009.2	HOST
GL000194.1	HOST
GL000195.1	HOST
GL000205.2	HOST
GL000208.1	HOST
GL000213.1	HOST
GL000214.1	HOST
GL000216.2	HOST
GL000218.1	HOST
GL000219.1	HOST
GL000220.1	HOST
GL000221.1	HOST
GL000224.1	HOST
GL000225.1	HOST
GL000226.1	HOST
KI270302.1	HOST
KI270303.1	HOST
KI270304.1	HOST
KI270305.1	HOST
KI270310.1	HOST
KI270311.1	HOST
KI270312.1	HOST
KI270315.1	HOST
KI270316.1	HOST
KI270317.1	HOST
KI270320.1	HOST
KI270322.1	HOST
KI270329.1	HOST
KI270330.1	HOST
KI270333.1	HOST
KI270334.1	HOST
KI270335.1	HOST
KI270336.1	HOST
KI270337.1	HOST
KI270338.1	HOST
KI270340.1	HOST
KI270362.1	HOST
KI270363.1	HOST
KI270364.1	HOST
KI270366.1	HOST
KI270371.1	HOST
KI270372.1	HOST
KI270373.1	HOST
KI270374.1	HOST
KI270375.1	HOST
KI270376.1	HOST
KI270378.1	HOST
KI270379.1	HOST
KI270381.1	HOST
KI270382.1	HOST
KI270383.1	HOST
KI270384.1	HOST
KI270385.1	HOST
KI270386.1	HOST
KI270387.1	HOST
KI270388.1	HOST
KI270389.1	HOST
KI270390.1	HOST
KI270391.1	HOST
KI270392.1	HOST
KI270393.1	HOST
KI270394.1	HOST
KI270395.1	HOST
KI270396.1	HOST
KI270411.1	HOST
KI270412.1	HOST
KI270414.1	HOST
KI270417.1	HOST
KI270418.1	HOST
KI270419.1	HOST
KI270420.1	HOST
KI270422.1	HOST
KI270423.1	HOST
KI270424.1	HOST
KI270425.1	HOST
KI270429.1	HOST
KI270435.1	HOST
KI270438.1	HOST
KI270442.1	HOST
KI270448.1	HOST
KI270465.1	HOST
KI270466.1	HOST
KI270467.1	HOST
KI270468.1	HOST
KI270507.1	HOST
KI270508.1	HOST
KI270509.1	HOST
KI270510.1	HOST
KI270511.1	HOST
KI270512.1	HOST
KI270515.1	HOST
KI270516.1	HOST
KI270517.1	HOST
KI270518.1	HOST
KI270519.1	HOST
KI270521.1	HOST
KI270522.1	HOST
KI270528.1	HOST
KI270529.1	HOST
KI270530.1	HOST
KI270538.1	HOST
KI270539.1	HOST
KI270544.1	HOST
KI270548.1	HOST
KI270579.1	HOST
KI270580.1	HOST
KI270581.1	HOST
KI270582.1	HOST
KI270583.1	HOST
KI270584.1	HOST
KI270587.1	HOST
KI270588.1	HOST
KI270589.1	HOST
KI270590.1	HOST
KI270591.1	HOST
KI270593.1	HOST
KI270706.1	HOST
KI270707.1	HOST
KI270708.1	HOST
KI270709.1	HOST
KI270710.1	HOST
KI270711.1	HOST
KI270712.1	HOST
KI270713.1	HOST
KI270714.1	HOST
KI270715.1	HOST
KI270716.1	HOST
KI270717.1	HOST
KI270718.1	HOST
KI270719.1	HOST
KI270720.1	HOST
KI270721.1	HOST
KI270722.1	HOST
KI270723.1	HOST
KI270724.1	HOST
KI270725.1	HOST
KI270726.1	HOST
KI270727.1	HOST
KI270728.1	HOST
KI270729.1	HOST
KI270730.1	HOST
KI270731.1	HOST
KI270732.1	HOST
KI270733.1	HOST
KI270734.1	HOST
KI270735.1	HOST
KI270736.1	HOST
KI270737.1	HOST
KI270738.1	HOST
KI270739.1	HOST
KI270740.1	HOST
KI270741.1	HOST
KI270742.1	HOST
KI270743.1	HOST
KI270744.1	HOST
KI270745.1	HOST
KI270746.1	HOST
KI270747.1	HOST
KI270748.1	HOST
KI270749.1	HOST
KI270750.1	HOST
KI270751.1	HOST
KI270752.1	HOST
KI270753.1	HOST
KI270754.1	HOST
KI270755.1	HOST
KI270756.1	HOST
KI270757.1	HOST
KSHV_NC_009333.1	KSHV
