EBV_gene-HHV4_A73	A73	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BALF1	BALF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BALF2	BALF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BALF3	BALF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BALF4	BALF4	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BALF5	BALF5	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BARF0	BARF0	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BaRF1.1	BaRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BARF1.2	BARF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBLF1	BBLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBLF2/BBLF3	BBLF2/BBLF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBLF4	BBLF4	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBRF1	BBRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBRF2	BBRF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BBRF3	BBRF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BcLF1	BcLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BCRF1.1	BCRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BcRF1.2	BcRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BDLF1	BDLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BDLF2	BDLF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BDLF3	BDLF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BDLF3.5	BDLF3.5	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BDLF4	BDLF4	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BdRF1	BdRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFLF1	BFLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFLF2	BFLF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFRF1	BFRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFRF1A	BFRF1A	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFRF2	BFRF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BFRF3	BFRF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF1	BGLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF2	BGLF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF3	BGLF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF3.5	BGLF3.5	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF4	BGLF4	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGLF5	BGLF5	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BGRF1/BDRF1	BGRF1/BDRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BHLF1	BHLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BHRF1	BHRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BILF1	BILF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BILF2	BILF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BKRF2	BKRF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BKRF3	BKRF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BKRF4	BKRF4	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BLLF1	BLLF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BLLF2	BLLF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BLLF3	BLLF3	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BLRF1	BLRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BLRF2	BLRF2	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BMRF1	BMRF1	EBV	EBV_NC_007605.1
EBV_gene-HHV4_BMRF2	BMRF2	EBV	EBV_NC_007605.1
